Day_Time,Meal_Served,People_Served,Location,Name_of_Program
Monday - Friday: 6:00 - 6:30 P.M.,Dinner,Youth 13-21,1828 Yale Avenue (on the corner of Denny and Stewart),Youth Care's Orion Center
Fridays: 6:00 - 7:00 P.M.,Dinner,OPEN TO ALL,"1415 NE 43rd Street, Seattle (alley entrance)",Friday Feast: ROOTS
Sundays: 6:00 - 7:00 P.M.; Monday through Wednesday: 7:00 - 8:00 P.M.,Dinner,FOR YOUTH 22 OR YOUNGER ,"2709 3rd Ave., Seattle",New Horizons Ministries
Daily: 6:30 P.M.,Dinner,OPEN TO MEN 50+ ,"1561 Alaskan Way S., Seattle",Saint Martin's de Porres Shelter
1st Sunday of each month 6:00 - 7:00 P.M.,Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Neighborhood Cooking Foundation
4th Saturday: 6:30 - 8:30 P.M.,Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Snoqualmie Valley Alliance Church
Everyday:  Dinner Intake at 5:45 P.M.  (Required chapel attendance before meal at 8pm),Dinner,OPEN TO ALL,"97 South Main St.,  Seattle",Bread of Life Mission
Mondays: 7:00 - 8:00 P.M.,Dinner,Youth 13-25,"University Lutheran Church, N.E. 50th & 16th N.E., Seattle (Enter down the steps off 16th & 50th)",University Street Ministry Teen Feed
Tuesdays: 7:00 - 8:00 P.M.,Dinner,Youth 13-25,"University Methodist               N.E. 43rd & 15th N.E., Seattle (Enter via alley, southwest corner of the bldg)",University Street Ministry Teen Feed
Wednesday & Thursday: 7:00 - 8:00 P.M.,Dinner,Youth 13-25,"University Congregational     N.E. 45th & 16th N.E., Seattle (Down the seps off 16th)",University Street Ministry Teen Feed
"Fridays & Sundays: 7:00 - 8:00 P.M. (Enter via alley, SW corner of building)",Dinner,Youth 13-25,"University Christian                  N.E. 50th & 15th N.E., Seattle",University Street Ministry Teen Feed
Monday - Thursday: 7:30 - 9:00 P.M.,Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Lord's Table
Daily: 6:00 - 7:15 pm,Dinner,WOMEN 18 AND OLDER,"2030 3rd Ave, Seattle",Women's Referral Center
"Major Holidays Only, Thanksgiving, Christmas, New Years day.",Dinner,OPEN TO ALL,"Outdoor Meal Site at 6th and Columbia, Seattle",Friends of Francois
